Num,Ligand_SMILES,Product_SMILES,Temp (K),G,ee (%),L_Num,L_DFT,L_Type,P_Num,R_Type,Data_Type,Doi,Ligand_Compound_Name,Product_Compound_Name,Unnamed: 15
3548,[H][C@@]12[C@@](C(C=CC=C3)=C3C2)([H])N=C(C4=NC(C5=N[C@](C(C=CC=C6)=C6C7)([H])[C@]7([H])O5)=CC=C4)O1,CC(C)(C#C[C@H](CCCC)C1=CC=CC=C1)C,283.15,1.3018,-82,L470,Ligand_335,Pybox,P_3654,C(sp3)-C(sp2),literature,10.1021/ja300031w,"2,6-bis((3aS,8aR)-3a,8a-dihydro-8H-indeno[1,2-d]oxazol-2-yl)pyridine","(R)-(2,2-dimethylnon-3-yn-5-yl)benzene",
2749,C1=CC=C2C(=C1)C[C@H]1OC(C3=N[C@H]4C5=CC=CC=C5C[C@H]4O3)=N[C@@H]21,COC1=CC=C(C=C1)[C@H](CC)NC(CCC1=CC=CC=C1)=O,298.15,1.8829,-92,L370,Ligand_14,Biox,P_2659,NiH,literature,10.1002/anie.202109881,"(3aS,3'aS,8aR,8'aR)-3a,3'a,8a,8'a-tetrahydro-8H,8'H-2,2'-biindeno[1,2-d]oxazole",(S)-N-(1-(4-methoxyphenyl)propyl)-3-phenylpropanamide,
5983,[H][C@@]12N=C(C3(CC3)C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)O[C@]1([H])CC7=C2C=CC=C7,CC1=C(C=CC=C1)\C=C\[C@@H](C)C1=CC=CC=C1,298.15,1.81,-91,L23,Ligand_71,Box,pplus_207,Photoredox,literature,10.1021/acs.joc.2c00707,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)","(R,E)-1-methyl-2-(3-phenylbut-1-en-1-yl)benzene",
2693,C1=CC=C2C(=C1)C[C@H]1OC(C3=N[C@H]4C5=CC=CC=C5C[C@H]4O3)=N[C@@H]21,O1C(=CC=C1)[C@H](CCCCC)NC1=CC=C(C=C1)C,273.15,1.4472,-87,L370,Ligand_14,Biox,P_2607,NiH,literature,10.1002/anie.202109881,"(3aS,3'aS,8aR,8'aR)-3a,3'a,8a,8'a-tetrahydro-8H,8'H-2,2'-biindeno[1,2-d]oxazole",(S)-N-(1-(furan-2-yl)hexyl)-4-methylaniline,
6148,C1(C2(CCCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,O=C([C@H](CCCC)NC(C1=CC=CC=C1)=O)CCCCCCCCCCCCCCCCC,288.15,1.6284,-89,L471,Ligand_156,Box,pplus_359,Photoredox,literature,10.1021/jacs.0c10471,"(4R,4'R,5S,5'S)-2,2'-(cyclopentane-1,1-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)",(S)-N-(6-oxotricosan-5-yl)benzamide,
4707,CN[C@H](C1=CC=CC=C1)[C@H](NC)C2=CC=CC=C2,CCCC[C@H](C1=CC=C(C)C=C1)B2OC(C)(C(C)(O2)C)C,298.15,1.81,-91,L103,Ligand_230,Diamine,P_155,Photoredox,literature,10.1038/s41467-021-21947-1,"(1R,2R)-N1,N2-dimethyl-1,2-diphenylethane-1,2-diamine","(R)-4,4,5,5-tetramethyl-2-(1-(p-tolyl)pentyl)-1,3,2-dioxaborolane",
930,[H][C@@]12N=C(C3(C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)CCCCC3)O[C@]1([H])CC7=C2C=CC=C7,CC[C@H](C1CCCCC1)NC(OCC2=CC=CC=C2)=O,303.15,0.0251,-2,L33,Ligand_72,Box,P_68,NiH,HTE,10.1021/jacs.0c11630,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclohexane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",benzyl (R)-(1-cyclohexylpropyl)carbamate,
4623,[H][C@@]12N=C(C3(CC3)C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)O[C@]1([H])CC7=C2C=CC=C7,C1(=CC=CC=C1)S(=O)(=O)[C@H](CCCC)C1=CC=C2C=CN(C2=C1)C(=O)OC(C)(C)C,273.15,1.4472,-87,L23,Ligand_71,Box,P_1625,RCC,literature,10.1039/d1sc00283j,"(3aS,3a'S,8aR,8a'R)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",tert-butyl (R)-6-(1-(phenylsulfonyl)pentyl)-1H-indole-1-carboxylate,
6542,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,C(OC(C)(C)C)(O[C@H](CCC1=CC=CC=C1)CCCOC1=CC2=CC=CC=C2C=C1)=O,293.15,0.3352,-28,L312,Ligand_112,Box,pplus_720,NiH,literature,10.31635/ccschem.021.202000760,"CCS Chem. 2022, 4, 605¨C615","(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",(R)-tert-butyl (6-(naphthalen-2-yloxy)-1-phenylhexan-3-yl) carbonate
2401,CC1=CC=CC(C2=N[C@@H](C(C=CC=C3)=C3C4)[C@@H]4O2)=N1,CCCCCCCC[C@@H](CC)C(N(C1=CC=CC=C1)C2=CC=CC=C2)=O,248.15,0.8363,-69,L177,Ligand_372,Pyox,P_360,NiH,literature,10.1002/anie.201813222,"(3aS,8aR)-2-(6-methylpyridin-2-yl)-3a,8a-dihydro-8H-indeno[1,2-d]oxazole","(R)-2-ethyl-N,N-diphenyldecanamide",
